Animal ID;Date;Weight (g)
982091062894196;2021-03-17;16300
982091062894196;2021-03-18;15650
982091062894196;2021-03-19;17800
982091062894196;2021-03-20;16300
982091062894196;2021-03-21;17700
982091062894196;2021-03-22;17950
982091062894196;2021-03-23;18200
982091062894196;2021-03-24;18500
982091062894196;2021-03-25;18900
982091062894196;2021-03-26;
982091062894196;2021-03-27;19400
982091062894196;2021-03-28;20600
982091062894196;2021-03-29;20800
982091062894196;2021-03-30;20600
982091062894196;2021-03-31;21400
982091062894196;2021-04-01;21300
982091062894196;2021-04-02;22150
982091062894196;2021-04-03;22800
982091062894196;2021-04-04;24150
982091062894196;2021-04-05;24000
982091062894196;2021-04-06;24800
982091062894196;2021-04-07;24950
982091062894196;2021-04-08;25500
982091062894196;2021-04-09;25600
982091062894196;2021-04-10;26200
982091062894196;2021-04-11;26800
982091062894196;2021-04-12;28100
982091062894196;2021-04-13;28800
982091062894196;2021-04-14;28600
982091062894196;2021-04-15;29200
982091062894196;2021-04-16;31100
982091062894196;2021-04-17;30400
982091062894196;2021-04-18;30900
982091062894196;2021-04-19;32300
982091062894196;2021-04-20;31600
982091062894196;2021-04-21;33000
982091062894196;2021-04-22;33700
982091062894196;2021-04-23;33850
982091062894196;2021-04-24;34400
982091062894196;2021-04-25;34500
982091062894196;2021-04-26;36300
982091062894196;2021-04-27;36600
982091062894196;2021-04-28;37000
982091062894196;2021-04-29;38050
982091062894196;2021-04-30;37700
982091062894196;2021-05-01;38700
982091062894196;2021-05-02;39900
982091062894196;2021-05-03;40350
982091062894196;2021-05-04;41200
982091062894196;2021-05-05;41400
982091062894196;2021-05-09;
982091062894196;2021-05-10;
982091062894196;2021-05-11;
982091062894196;2021-05-12;45100
982091062894196;2021-05-13;50700
982091062894196;2021-05-14;50100
982091062894196;2021-05-15;51300
982091062894196;2021-05-16;51500
982091062894196;2021-05-17;52000
982091062894196;2021-05-18;53950
982091062894196;2021-05-19;54000
982091062894196;2021-05-20;52200
982091062894196;2021-05-21;53600
982091062894196;2021-05-22;53100
982091062894196;2021-05-23;54600
